These are the results for a poplation of size 1000 who 20 times have jumped 10 generations.
For each generation, 1000 PMX operations create as many offspring as parents.
After each 1000 PMX operation, an elitist filter is applied to keep the population static and only the best solutions available. 
The sequences are printed to terminal since I'm having trouble writing them to file.
path lengths    sequences: 
  11905.26        6927058134
  11907.88        3109627458
  11907.88        8234769105
  11908.67        9028746153
  11909.25        7830251496
  11910.03        7283460951
  11911.43        2087654193
  11912.72        5247319680
  11914.45        2396854017
  11915.06        7654921380
  11919.55        4397268015
  11921.38        6927058134
  11926.93        9183425067
  11928.55        3182056974
  11928.63        5963408712
  11931.47        9182506347
  11931.56        2593784160
  11933.73        9524761380
  11939.03        7428039156
  11941.92        6421035798
  11941.92        8615427390
  11941.92        7421839506
  11943.12        9806237451
  11946.78        2678913045
  11947.89        0715234896
  11948.29        7120356948
  11952.80        6807143952
  11958.47        2091458376
  11959.20        0734526891
  11959.20        6387294501
  11959.61        2041738596
  11962.19        3805297146
  11963.04        6281457390
  11978.20        6371594208
  11978.57        9610723458
  11978.57        9542017836
  11978.57        5836971042
  11980.07        9581270634
  11980.65        5231764098
  11984.05        0368415792
  11985.03        4095876231
  11986.15        8014539762
  11986.98        4627059183
  11987.67        0831956274
  11988.53        3017624859
  11997.13        3697214580
  11999.80        9536871042
  12001.73        1608239475
  12001.94        8054971263
  12002.27        6394028751
  12004.97        2873019456
  12004.97        6371594208
  12005.11        3257984061
  12006.70        6082341759
  12006.70        7834259601
  12011.30        5278019643
  12012.53        8569042731
  12013.54        2731458690
  12013.54        4213697850
  12015.59        9362518740
  12015.85        9326807451
  12016.84        9516237840
  12016.84        4620175398
  12016.84        2631458709
  12017.23        9781436250
  12019.85        8951263470
  12019.85        4250163978
  12024.34        1654309782
  12024.34        5169027843
  12027.22        6824137905
  12029.23        0345691872
  12037.05        8150269374
  12039.43        1397025468
  12042.89        5836971042
  12042.89        7850269314
  12048.25        8657320941
  12051.28        6534029187
  12062.00        6427893051
  12066.26        6017958432
  12067.43        6837019452
  12068.18        2345819607
  12068.18        9054376218
  12068.18        6815024397
  12069.64        8654379012
  12070.34        2719856403
  12075.76        7836459201
  12078.29        4150723896
  12087.20        8460312795
  12096.21        3980457126
  12096.78        0247386951
  12097.63        2670489153
  12098.78        6584092731
  12098.78        4260597813
  12102.20        6021793584
  12104.00        8253079641
